20:31:11.421 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.OracleDatabase
20:31:11.421 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.PostgresDatabase
20:31:11.422 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.SQLiteDatabase
20:31:11.422 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.SybaseASADatabase
20:31:11.423 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.SybaseDatabase
20:31:11.423 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.UnsupportedDatabase
20:31:11.423 [main] DEBUG liquibase.servicelocator - Loaded liquibase.database.Database instance liquibase.database.core.SnowflakeDatabase
20:31:11.428 [main] DEBUG liquibase.database - Connected to tusharnagdive@jdbc:postgresql://localhost:5432/expensedb
20:31:11.428 [main] DEBUG liquibase.database - Setting auto commit to false from true
20:31:11.443 [main] DEBUG liquibase.servicelocator - Loaded liquibase.executor.Executor instance liquibase.executor.jvm.JdbcExecutor
20:31:11.443 [main] DEBUG liquibase.servicelocator - Loaded liquibase.executor.Executor instance liquibase.executor.jvm.SnowflakeJdbcExecutor
20:31:11.445 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGenerator
20:31:11.445 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGeneratorDB2
20:31:11.445 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGeneratorHsqlH2
20:31:11.445 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGeneratorInformix
20:31:11.446 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGeneratorMySQL
20:31:11.446 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.AddAutoIncrementGeneratorSQLite
